timestamp,symbol,price_usd,vol_24h,chg_24h
16-12-2025 22:31,usdt0,$1.00,"$292,651,746.00",-0.02%
16-12-2025 22:31,uni,$5.17,"$286,322,859.00",1.32%
16-12-2025 22:31,bch,$548.66,"$320,281,162.00",3.72%
16-12-2025 22:31,hype,$26.89,"$335,358,397.00",-2.83%
16-12-2025 22:31,aave,$185.24,"$363,583,451.00",0.44%
16-12-2025 22:31,avax,$12.22,"$384,114,259.00",-1.71%
16-12-2025 22:31,usd1,$1.00,"$450,359,125.00",-0.05%
16-12-2025 22:31,cbbtc,"$87,347.00","$479,210,265.00",1.27%
16-12-2025 22:31,ltc,$78.98,"$511,238,366.00",2.08%
16-12-2025 22:31,trx,$0.28,"$580,227,288.00",0.67%
16-12-2025 22:31,ada,$0.38,"$577,884,399.00",-0.49%
16-12-2025 22:31,link,$12.86,"$612,018,471.00",0.48%
16-12-2025 22:31,zec,$398.89,"$764,209,668.00",-3.07%
16-12-2025 22:31,sui,$1.50,"$819,211,761.00",2.60%
16-12-2025 22:31,doge,$0.13,"$1,096,759,442.00",1.94%
16-12-2025 22:31,bsc-usd,$1.00,"$1,562,934,372.00",0.01%
16-12-2025 22:31,bnb,$868.66,"$1,846,855,958.00",1.81%
16-12-2025 22:31,xrp,$1.92,"$3,301,374,833.00",0.70%
16-12-2025 22:31,eth,"$2,931.40","$25,600,152,753.00",-0.60%
16-12-2025 22:31,sol,$127.01,"$4,747,703,914.00",1.16%
16-12-2025 22:31,btc,"$87,423.00","$51,808,857,146.00",1.37%
16-12-2025 22:31,usdt,$1.00,"$79,707,552,314.00",-0.01%
16-12-2025 22:31,usdc,$1.00,"$12,132,941,542.00",0.02%
16-12-2025 22:01,usds,$1.00,"$4,115,100.00",-0.01%
16-12-2025 22:01,leo,$9.04,"$601,763.00",-1.98%
16-12-2025 22:01,wbeth,"$3,202.29","$11,105,685.00",0.67%
16-12-2025 22:01,weeth,"$3,197.56","$17,763,746.00",-0.23%
16-12-2025 22:01,cro,$0.10,"$22,437,894.00",-0.48%
16-12-2025 22:01,susde,$1.21,"$24,394,942.00",-0.10%
16-12-2025 22:01,m,$1.63,"$14,442,078.00",-8.02%
16-12-2025 22:01,rain,$0.01,"$21,875,722.00",3.13%
16-12-2025 22:01,cc,$0.07,"$15,397,248.00",-0.05%
16-12-2025 22:01,figr_heloc,$1.03,"$29,441,072.00",0.73%
16-12-2025 22:01,steth,"$2,950.50","$49,261,773.00",0.49%
16-12-2025 22:01,wsteth,"$3,606.01","$66,539,108.00",0.52%
16-12-2025 22:01,susds,$1.07,"$49,036,510.00",-0.50%
16-12-2025 22:01,wbt,$58.08,"$74,211,867.00",0.43%
16-12-2025 22:01,wlfi,$0.14,"$84,412,212.00",1.60%
16-12-2025 22:01,usde,$1.00,"$101,556,301.00",-0.14%
16-12-2025 22:01,dai,$1.00,"$106,518,318.00",-0.01%
16-12-2025 22:01,pyusd,$1.00,"$88,140,395.00",0.07%
16-12-2025 22:01,hbar,$0.11,"$109,915,646.00",1.35%
16-12-2025 22:01,shib,$0.00,"$115,378,702.00",1.21%
16-12-2025 22:01,ton,$1.55,"$106,909,336.00",4.79%
16-12-2025 22:01,xlm,$0.22,"$134,847,545.00",1.79%
16-12-2025 22:01,xmr,$431.14,"$172,338,267.00",6.48%
16-12-2025 22:01,mnt,$1.27,"$170,510,085.00",-0.34%
16-12-2025 22:01,weth,"$2,951.20","$188,513,452.00",0.42%
16-12-2025 22:01,dot,$1.91,"$188,697,249.00",2.83%
16-12-2025 22:01,wbtc,"$87,484.00","$225,986,924.00",1.84%
16-12-2025 22:01,uni,$5.21,"$296,331,305.00",3.24%
16-12-2025 22:01,usdt0,$1.00,"$309,684,154.00",0.00%
16-12-2025 22:01,bch,$551.47,"$329,690,549.00",5.00%
16-12-2025 22:01,hype,$26.97,"$336,977,609.00",-1.71%
16-12-2025 22:01,aave,$187.44,"$373,555,813.00",2.63%
16-12-2025 22:01,avax,$12.32,"$399,924,166.00",-0.83%
16-12-2025 22:01,cbbtc,"$87,738.00","$465,371,982.00",2.13%
16-12-2025 22:01,usd1,$1.00,"$479,644,135.00",-0.02%
16-12-2025 22:01,ltc,$79.44,"$508,935,656.00",3.89%
16-12-2025 22:01,trx,$0.28,"$582,676,801.00",0.83%
16-12-2025 22:01,ada,$0.39,"$611,820,073.00",1.85%
16-12-2025 22:01,link,$12.96,"$637,999,522.00",2.47%
16-12-2025 22:01,zec,$403.37,"$868,395,056.00",-2.09%
16-12-2025 22:01,sui,$1.52,"$873,229,548.00",3.50%
16-12-2025 22:01,doge,$0.13,"$1,166,263,471.00",2.80%
16-12-2025 22:01,bsc-usd,$1.00,"$1,554,899,763.00",-0.06%
16-12-2025 22:01,bnb,$871.22,"$1,834,619,425.00",2.53%
16-12-2025 22:01,xrp,$1.93,"$3,839,926,243.00",2.21%
16-12-2025 22:01,eth,"$2,950.63","$26,176,816,695.00",0.64%
